imdb_id,budget,revenue
tt0825671,0,1871
tt0411267,0,6593579
tt0060371,0,11274
tt0169024,0,0
tt0065780,0,999
tt0054205,0,0
tt0061589,0,0
tt0022913,0,4072
tt0430576,0,6410058
tt0023622,0,345
tt0287624,0,0
tt0036613,0,0
tt0048028,0,28344
tt0080117,0,14492
tt0049406,0,380
tt0026029,0,52623
tt0054135,0,0
tt0059170,0,0
tt0303785,0,2130190
tt0489010,0,371139
tt0067185,0,3978
tt0089537,0,62743
tt0110361,0,0
tt0113117,0,101982854
tt0285492,0,3563603
tt0377713,0,0
tt0088184,0,2454363
tt0129774,0,0
tt0427312,0,4064694
tt0058083,0,0
tt0116308,0,0
tt0108598,0,0
tt0112691,0,12461
tt0958195,0,0
tt0367631,0,97446
tt0019702,0,160
tt0442896,0,0
tt0040766,0,0
tt0018455,0,121848
tt0046359,0,0
tt0013427,0,0
tt0039689,0,0
tt0108122,0,6110979
tt0014341,0,248
tt0055205,0,0
tt0057334,0,0
tt0062952,0,7236
tt0058383,0,0
tt0058382,0,0
tt0067756,0,1104
tt0204824,0,0
tt0067023,0,2544
tt0364961,0,4426087
tt0037558,0,92293
tt0023458,0,0
tt0379217,0,8016513
tt0018839,0,0
tt0059037,0,0
tt0009968,0,0
tt0029947,0,11665
tt0032234,0,0
tt0069995,0,116008
tt0057413,0,10878166
tt0030341,0,41493
tt0040536,0,852
tt0016220,0,0
tt0035015,0,0
tt0022458,0,0
tt0036244,0,0
tt0032904,0,413654
tt0059012,0,126724
tt0071524,0,0
tt0032811,0,0
tt0074851,0,167072
tt0015324,0,399
tt0060176,0,38575
tt0041959,0,1406393
tt0385017,0,1627788
tt0246786,0,0
tt0427969,0,16800438
tt0443456,0,8974829
tt0490084,0,69485490
tt0275309,0,1523214
tt0103882,0,2279692
tt0079802,0,0
tt0077687,0,0
tt0120699,0,166082
tt0251052,0,3789625
tt0313670,0,3961374
tt0051745,0,0
tt0415978,0,8012838
tt0094075,0,0
tt0094300,0,0
tt0985019,0,0
tt0060355,0,0
tt0380366,0,6571302
tt0069945,0,0
tt0411195,0,3942254
tt1344607,0,0
tt0368089,1500000,192186
tt0940833,0,0
tt0418773,0,3399228
tt0120894,0,54836
tt0106579,0,26351
tt0110500,0,1155
tt0104693,0,0
tt0101420,0,0
tt0067128,0,60404
tt0318761,0,2138742
tt0311648,300000,3282321
tt0090967,0,1529199
tt0072235,0,0
tt0045673,0,0
tt1540987,0,0
tt0337631,0,151869
tt0058586,0,12368817
tt0382357,0,0
tt0462482,0,0
tt0114917,0,0
tt0238660,0,0
tt0119114,0,3736
tt0149151,0,524864
tt0108473,0,14543394
tt0100685,0,1911542
tt0053729,0,0
tt0063811,0,0
tt0949502,0,741812
tt0061465,0,0
tt0365513,0,0
tt0109575,0,0
tt0131502,0,0
tt0033021,0,0
tt0074554,0,0
tt0079753,12500000,7650600
tt0101588,3000000,1345015
tt0022626,0,0
tt0124295,0,720074
tt0486358,0,1013596
tt0309326,0,3200
tt0940580,0,3862534
tt0243609,0,0
tt0052837,0,0
tt0064409,0,0
tt0085919,0,17613720
tt0086896,0,17488564
tt0120879,0,1054291
tt0045296,0,0
tt0119809,0,198027
tt0077234,0,0
tt0037101,0,0
tt0039217,0,0
tt0388888,0,228828
tt0841044,0,19776159
tt0064638,0,0
tt0145400,0,0
tt0057362,0,0
tt0077156,0,0
tt0390123,0,417120
tt0096815,0,0
tt0427925,0,0
tt0082059,0,0
tt0065828,0,0
